@N: MF916 |Option synthesis_strategy=base is enabled. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\ssitop.vhd":159:2:159:3|Found instance SSITop_2.ShiftOn with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\ssitop.vhd":159:2:159:3|Found instance SSITop_2.DelayCntEn with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\ssitop.vhd":117:2:117:3|Found instance SSITop_2.DataValid with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\ssitop.vhd":159:2:159:3|Found instance SSITop_2.intSSI_CLK with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\discovercontrolid.vhd":77:2:77:3|Found instance DiscID_1.DiscCtrlID_1.M_Card_ID_LOAD with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\discovercontrolid.vhd":77:2:77:3|Found instance DiscID_1.DiscCtrlID_1.M_Card_ID_LATCH with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\discovercontrolid.vhd":77:2:77:3|Found instance DiscID_1.DiscCtrlID_1.ShiftEnable with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\discoverexpansionid.vhd":79:2:79:3|Found instance DiscID_1.DiscExpID_1.Exp_ID_LOAD with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\discoverexpansionid.vhd":79:2:79:3|Found instance DiscID_1.DiscExpID_1.Exp_ID_LATCH with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\discoverexpansionid.vhd":79:2:79:3|Found instance DiscID_1.DiscExpID_1.ShiftEnable with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\discoverexpansionid.vhd":129:2:129:3|Found instance DiscID_1.DiscExpID_1.OutputClock with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\watchdogtimer.vhd":157:2:157:3|Found instance WDT_1.PUReg[19:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\statemachine.vhd":210:2:210:3|Found instance Analog_1.StateMach_1.EndDelay with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\serial2parallel.vhd":74:2:74:3|Found instance Analog_1.Ser2Par_1.S2P_M3Ch1_Data[15:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\serial2parallel.vhd":74:2:74:3|Found instance Analog_1.Ser2Par_1.S2P_M3Ch0_Data[15:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\serial2parallel.vhd":74:2:74:3|Found instance Analog_1.Ser2Par_1.S2P_M2Ch1_Data[15:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\serial2parallel.vhd":74:2:74:3|Found instance Analog_1.Ser2Par_1.S2P_M2Ch0_Data[15:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\serial2parallel.vhd":74:2:74:3|Found instance Analog_1.Ser2Par_1.S2P_M1Ch1_Data[15:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\serial2parallel.vhd":74:2:74:3|Found instance Analog_1.Ser2Par_1.S2P_M1Ch0_Data[15:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\serial2parallel.vhd":74:2:74:3|Found instance Analog_1.Ser2Par_1.S2P_M0Ch1_Data[15:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\serial2parallel.vhd":74:2:74:3|Found instance Analog_1.Ser2Par_1.S2P_M0Ch0_Data[15:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\serial2parallel.vhd":74:2:74:3|Found instance Analog_1.Ser2Par_1.S2P_CtrlAxis1_Data[15:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\serial2parallel.vhd":74:2:74:3|Found instance Analog_1.Ser2Par_1.S2P_CtrlAxis0_Data[15:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\serial_mem.vhd":265:4:265:5|Found instance SerMemInt_1.ShiftEnable with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\serial_mem.vhd":265:4:265:5|Found instance SerMemInt_1.LoadMemAddr with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\serial_mem.vhd":265:4:265:5|Found instance SerMemInt_1.IncOperationFaultCount with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\serial_mem.vhd":265:4:265:5|Found instance SerMemInt_1.intSerialMemoryDataControl with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\serial_mem.vhd":265:4:265:5|Found instance SerMemInt_1.StartStopBit with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\serial_mem.vhd":265:4:265:5|Found instance SerMemInt_1.intFLAG_CLR with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\serial_mem.vhd":265:4:265:5|Found instance SerMemInt_1.SecondPassRead with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\serial_mem.vhd":265:4:265:5|Found instance SerMemInt_1.LoadDeviceAddr with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\serial_mem.vhd":265:4:265:5|Found instance SerMemInt_1.intEEPROMAccessFlag with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\serial_mem.vhd":220:1:220:2|Found instance SerMemInt_1.ReadFlag with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\serial_mem.vhd":197:1:197:2|Found instance SerMemInt_1.WriteFlag with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\serial_mem.vhd":265:4:265:5|Found instance SerMemInt_1.LoadWriteData with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\serial_mem.vhd":209:1:209:2|Found instance SerMemInt_1.ReadLatch with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\serial_mem.vhd":186:1:186:2|Found instance SerMemInt_1.WriteLatch with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\serial_mem.vhd":171:4:171:5|Found instance SerMemInt_1.intSerialMemoryClock with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\serial_mem.vhd":529:4:529:5|Found instance SerMemInt_1.OperationFaultFlag with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\quadxface.vhd":457:2:457:3|Found instance Quad_1.QuadXface_6.intHomeLat with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\quadxface.vhd":548:2:548:3|Found instance Quad_1.QuadXface_6.intLatch1Lat with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\quadxface.vhd":509:2:509:3|Found instance Quad_1.QuadXface_6.intLatch0Lat with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\quadxface.vhd":191:2:191:3|Found instance Quad_1.QuadXface_6.LearnModeEnable with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\quadxface.vhd":191:2:191:3|Found instance Quad_1.QuadXface_6.Latch1ArmedState[2:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\quadxface.vhd":191:2:191:3|Found instance Quad_1.QuadXface_6.Latch0ArmedState[2:0] with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1171 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\quadxface.vhd":191:2:191:3|Found instance Quad_1.QuadXface_6.HomeArm with reset/set having higher priority than enable. Selected technology supports register with enable having higher priority than reset/set. Adding glue logic to resolve priority. 
@N: FX1184 |Applying syn_allowed_resources blockrams=10 on top level netlist Top 
@N: FX1143 |Skipping assigning INTERNAL_VREF to iobanks, because the table of mapping from pin to iobank is not initialized.
@N: BN225 |Writing default property annotation file C:\RMC70\Programmable\CPU\RMC75E\FPGA\mainline\synthesis\Top.sap.
@N: MO225 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\expmoduleled.vhd":152:2:152:3|There are no possible illegal states for state machine intExpLEDSelect[0:15] (in view: work.ExpModuleLED(expmoduleled_arch)); safe FSM implementation is not required.
@N: MO225 :"c:\rmc70\programmable\cpu\rmc75e\fpga\mainline\hdl\expmoduleled.vhd":223:2:223:3|There are no possible illegal states for state machine State[0:3] (in view: work.ExpModuleLED(expmoduleled_arch)); safe FSM implementation is not required.
