pin,slack
MDTTop_2/RetPulseDelayEnable_RNO_1:Y,-5884
ExpModLED_1/Count_RNO[3]:A,13761
ExpModLED_1/Count_RNO[3]:B,13045
ExpModLED_1/Count_RNO[3]:C,10994
ExpModLED_1/Count_RNO[3]:D,11314
ExpModLED_1/Count_RNO[3]:Y,10994
Quad_1/QuadXface_3/QuadDataOut_1_m2_2[5]:A,10513
Quad_1/QuadXface_3/QuadDataOut_1_m2_2[5]:B,10439
Quad_1/QuadXface_3/QuadDataOut_1_m2_2[5]:C,
Quad_1/QuadXface_3/QuadDataOut_1_m2_2[5]:D,
Quad_1/QuadXface_3/QuadDataOut_1_m2_2[5]:Y,10439
Exp0Data_iobuf[4]/U0/U_IOOUTFF:A,
Exp0Data_iobuf[4]/U0/U_IOOUTFF:Y,
M_ENABLE_obuf[1]/U0/U_IOPAD:D,
M_ENABLE_obuf[1]/U0/U_IOPAD:E,
M_ENABLE_obuf[1]/U0/U_IOPAD:PAD,
LatCnt_1/LatencyCounter_cry[9]:B,5355
LatCnt_1/LatencyCounter_cry[9]:FCI,5176
LatCnt_1/LatencyCounter_cry[9]:FCO,5176
LatCnt_1/LatencyCounter_cry[9]:S,5594
Quad_1/QuadXface_3/AccumOverflow:CLK,
Quad_1/QuadXface_3/AccumOverflow:D,15334
Quad_1/QuadXface_3/AccumOverflow:EN,12103
Quad_1/QuadXface_3/AccumOverflow:Q,
MDTTop_2/TransducerSelect_2[1]:CLK,5645
MDTTop_2/TransducerSelect_2[1]:D,
MDTTop_2/TransducerSelect_2[1]:EN,-7344
MDTTop_2/TransducerSelect_2[1]:Q,5645
MDTTop_2/TransducerSelect_2[1]:SLn,-3994
Quad_1/QuadXface_1/QuadDataOut_1_m2[9]:A,14833
Quad_1/QuadXface_1/QuadDataOut_1_m2[9]:B,13705
Quad_1/QuadXface_1/QuadDataOut_1_m2[9]:C,
Quad_1/QuadXface_1/QuadDataOut_1_m2[9]:D,14928
Quad_1/QuadXface_1/QuadDataOut_1_m2[9]:Y,13705
SerMemInt_1/StateMachine_or[11]:A,12028
SerMemInt_1/StateMachine_or[11]:B,13534
SerMemInt_1/StateMachine_or[11]:Y,12028
Quad_1/QuadXface_4/QuadDataOut_1s2:A,12688
Quad_1/QuadXface_4/QuadDataOut_1s2:B,12583
Quad_1/QuadXface_4/QuadDataOut_1s2:Y,12583
MDTTop_2/CountRA_cry[14]:B,5716
MDTTop_2/CountRA_cry[14]:FCI,5442
MDTTop_2/CountRA_cry[14]:FCO,5442
MDTTop_2/CountRA_cry[14]:S,5499
DiscID_1/DiscCtrlID_1/State_i_RNO[5]:A,14294
DiscID_1/DiscCtrlID_1/State_i_RNO[5]:B,13717
DiscID_1/DiscCtrlID_1/State_i_RNO[5]:C,13151
DiscID_1/DiscCtrlID_1/State_i_RNO[5]:Y,13151
MDTTop_1/un1_discoverIdDataOut_0_iv_8_RNO_0[2]:A,5807
MDTTop_1/un1_discoverIdDataOut_0_iv_8_RNO_0[2]:B,14755
MDTTop_1/un1_discoverIdDataOut_0_iv_8_RNO_0[2]:C,15831
MDTTop_1/un1_discoverIdDataOut_0_iv_8_RNO_0[2]:D,12267
MDTTop_1/un1_discoverIdDataOut_0_iv_8_RNO_0[2]:Y,5807
DIO8_1/d8DataOut_m6_cZ[5]:A,13481
DIO8_1/d8DataOut_m6_cZ[5]:B,11420
DIO8_1/d8DataOut_m6_cZ[5]:C,11089
DIO8_1/d8DataOut_m6_cZ[5]:D,11022
DIO8_1/d8DataOut_m6_cZ[5]:Y,11022
ExpModLED_1/un1_synchedtick_1_i_0_x2:A,12992
ExpModLED_1/un1_synchedtick_1_i_0_x2:B,12449
ExpModLED_1/un1_synchedtick_1_i_0_x2:C,12863
ExpModLED_1/un1_synchedtick_1_i_0_x2:D,12738
ExpModLED_1/un1_synchedtick_1_i_0_x2:Y,12449
MDTTop_1/un1_discoverIdDataOut_0_iv_9[14]:A,16097
MDTTop_1/un1_discoverIdDataOut_0_iv_9[14]:B,9157
MDTTop_1/un1_discoverIdDataOut_0_iv_9[14]:C,5835
MDTTop_1/un1_discoverIdDataOut_0_iv_9[14]:D,6851
MDTTop_1/un1_discoverIdDataOut_0_iv_9[14]:Y,5835
SerMemInt_1/LoadMemAddr_RNO_0:A,8706
SerMemInt_1/LoadMemAddr_RNO_0:B,9886
SerMemInt_1/LoadMemAddr_RNO_0:C,-2092
SerMemInt_1/LoadMemAddr_RNO_0:D,-2057
SerMemInt_1/LoadMemAddr_RNO_0:Y,-2092
Analog_1/Ser2Par_1/S2P_M3Ch0_Data[13]:CLK,13159
Analog_1/Ser2Par_1/S2P_M3Ch0_Data[13]:D,15326
Analog_1/Ser2Par_1/S2P_M3Ch0_Data[13]:EN,7490
Analog_1/Ser2Par_1/S2P_M3Ch0_Data[13]:Q,13159
Analog_1/Ser2Par_1/S2P_M3Ch0_Data[13]:SLn,9714
SerMemInt_1/StartStopBit_RNO_0:A,13144
SerMemInt_1/StartStopBit_RNO_0:B,10804
SerMemInt_1/StartStopBit_RNO_0:C,13039
SerMemInt_1/StartStopBit_RNO_0:D,12947
SerMemInt_1/StartStopBit_RNO_0:Y,10804
Quad_1/QuadXface_4/QuadDataOut_1_m2[5]:A,13544
Quad_1/QuadXface_4/QuadDataOut_1_m2[5]:B,13479
Quad_1/QuadXface_4/QuadDataOut_1_m2[5]:C,12296
Quad_1/QuadXface_4/QuadDataOut_1_m2[5]:D,
Quad_1/QuadXface_4/QuadDataOut_1_m2[5]:Y,12296
Exp2Data_iobuf[2]/U0/U_IOINFF:A,
Exp2Data_iobuf[2]/U0/U_IOINFF:Y,
DIO8_1/d8DataOut_ss0_0_0_a2_0:A,13503
DIO8_1/d8DataOut_ss0_0_0_a2_0:B,13565
DIO8_1/d8DataOut_ss0_0_0_a2_0:C,10122
DIO8_1/d8DataOut_ss0_0_0_a2_0:Y,10122
ExpSigRoute_3/un5_serialmemorydatain_0_a2_0:A,-621
ExpSigRoute_3/un5_serialmemorydatain_0_a2_0:B,-688
ExpSigRoute_3/un5_serialmemorydatain_0_a2_0:C,-788
ExpSigRoute_3/un5_serialmemorydatain_0_a2_0:D,7202
ExpSigRoute_3/un5_serialmemorydatain_0_a2_0:Y,-788
MDTTop_1/MDTPosition[18]:CLK,
MDTTop_1/MDTPosition[18]:D,5461
MDTTop_1/MDTPosition[18]:EN,5602
MDTTop_1/MDTPosition[18]:Q,
CPUCnf_1/un1_cpuconfigwrite:A,
CPUCnf_1/un1_cpuconfigwrite:B,
CPUCnf_1/un1_cpuconfigwrite:Y,
DiscID_1/DiscExpID_1/ExpansionID1_1_fast[8]:CLK,-12156
DiscID_1/DiscExpID_1/ExpansionID1_1_fast[8]:D,15310
DiscID_1/DiscExpID_1/ExpansionID1_1_fast[8]:EN,13010
DiscID_1/DiscExpID_1/ExpansionID1_1_fast[8]:Q,-12156
Quad_1/QuadXface_6/RisingLatch1:CLK,13059
Quad_1/QuadXface_6/RisingLatch1:D,14215
Quad_1/QuadXface_6/RisingLatch1:Q,13059
MDTTop_1/un1_discoverIdDataOut_0_iv_4[12]:A,10777
MDTTop_1/un1_discoverIdDataOut_0_iv_4[12]:B,13042
MDTTop_1/un1_discoverIdDataOut_0_iv_4[12]:C,9137
MDTTop_1/un1_discoverIdDataOut_0_iv_4[12]:D,10122
MDTTop_1/un1_discoverIdDataOut_0_iv_4[12]:Y,9137
MDTTop_1/LeadingCountDecode_1_0_.m5:A,6890
MDTTop_1/LeadingCountDecode_1_0_.m5:B,6846
MDTTop_1/LeadingCountDecode_1_0_.m5:C,4688
MDTTop_1/LeadingCountDecode_1_0_.m5:D,5668
MDTTop_1/LeadingCountDecode_1_0_.m5:Y,4688
ExpModLED_1/N_147_i:A,10124
ExpModLED_1/N_147_i:B,10051
ExpModLED_1/N_147_i:C,13666
ExpModLED_1/N_147_i:D,12444
ExpModLED_1/N_147_i:Y,10051
Analog_1/StateMach_1/InterConversionDelayCNTR_RNICN727[9]:B,14053
Analog_1/StateMach_1/InterConversionDelayCNTR_RNICN727[9]:C,9603
Analog_1/StateMach_1/InterConversionDelayCNTR_RNICN727[9]:FCI,9477
Analog_1/StateMach_1/InterConversionDelayCNTR_RNICN727[9]:FCO,9477
Analog_1/StateMach_1/InterConversionDelayCNTR_RNICN727[9]:S,9494
Quad_1/QuadXface_6/QuadDataOut_1_2[14]:A,
Quad_1/QuadXface_6/QuadDataOut_1_2[14]:B,14832
Quad_1/QuadXface_6/QuadDataOut_1_2[14]:C,14779
Quad_1/QuadXface_6/QuadDataOut_1_2[14]:D,
Quad_1/QuadXface_6/QuadDataOut_1_2[14]:Y,14779
MDTTop_1/un1_discoverIdDataOut_0_iv_0_0[24]:A,10648
MDTTop_1/un1_discoverIdDataOut_0_iv_0_0[24]:B,11715
MDTTop_1/un1_discoverIdDataOut_0_iv_0_0[24]:C,
MDTTop_1/un1_discoverIdDataOut_0_iv_0_0[24]:D,
MDTTop_1/un1_discoverIdDataOut_0_iv_0_0[24]:Y,10648
MDTTop_1/un1_discoverIdDataOut_0_iv_1[5]:A,5109
MDTTop_1/un1_discoverIdDataOut_0_iv_1[5]:B,6065
MDTTop_1/un1_discoverIdDataOut_0_iv_1[5]:C,10439
MDTTop_1/un1_discoverIdDataOut_0_iv_1[5]:D,10408
MDTTop_1/un1_discoverIdDataOut_0_iv_1[5]:Y,5109
DiscID_1/DiscExpID_1/ExpansionID1_1[14]:CLK,-12276
DiscID_1/DiscExpID_1/ExpansionID1_1[14]:D,15310
DiscID_1/DiscExpID_1/ExpansionID1_1[14]:EN,13010
DiscID_1/DiscExpID_1/ExpansionID1_1[14]:Q,-12276
Analog_1/Ser2Par_1/S2P_Data_cZ[4]:A,14238
Analog_1/Ser2Par_1/S2P_Data_cZ[4]:B,10618
Analog_1/Ser2Par_1/S2P_Data_cZ[4]:C,11411
Analog_1/Ser2Par_1/S2P_Data_cZ[4]:Y,10618
M_DRV_EN_L_obuf/U0/U_IOOUTFF:A,
M_DRV_EN_L_obuf/U0/U_IOOUTFF:Y,
DIO8_1/IntDout_3_1_0_wmux[20]:A,10827
DIO8_1/IntDout_3_1_0_wmux[20]:B,10501
DIO8_1/IntDout_3_1_0_wmux[20]:C,12291
DIO8_1/IntDout_3_1_0_wmux[20]:D,11986
DIO8_1/IntDout_3_1_0_wmux[20]:FCO,
DIO8_1/IntDout_3_1_0_wmux[20]:Y,10501
SSITop_2/ShiftCounter[2]:CLK,12992
SSITop_2/ShiftCounter[2]:D,12820
SSITop_2/ShiftCounter[2]:EN,12871
SSITop_2/ShiftCounter[2]:Q,12992
MDTTop_2/un17_retpulsedelayenable:A,4779
MDTTop_2/un17_retpulsedelayenable:B,4696
MDTTop_2/un17_retpulsedelayenable:Y,4696
Quad_1/QuadXface_6/QuadDataOut_1_1_0_wmux_0[5]:A,12659
Quad_1/QuadXface_6/QuadDataOut_1_1_0_wmux_0[5]:B,14786
Quad_1/QuadXface_6/QuadDataOut_1_1_0_wmux_0[5]:C,
Quad_1/QuadXface_6/QuadDataOut_1_1_0_wmux_0[5]:D,
Quad_1/QuadXface_6/QuadDataOut_1_1_0_wmux_0[5]:FCI,
Quad_1/QuadXface_6/QuadDataOut_1_1_0_wmux_0[5]:Y,12659
ExpSigRoute_3/expd8_datain_0_o2:A,8628
ExpSigRoute_3/expd8_datain_0_o2:B,8584
ExpSigRoute_3/expd8_datain_0_o2:Y,8584
Analog_1/DataBuf_1/RAM_2/ram_ram_0_1/FF_9:IPENn,
Quad_1/QuadXface_1/QuadDataOut_1_1_0_wmux[1]:A,13806
Quad_1/QuadXface_1/QuadDataOut_1_1_0_wmux[1]:B,13592
Quad_1/QuadXface_1/QuadDataOut_1_1_0_wmux[1]:C,12332
Quad_1/QuadXface_1/QuadDataOut_1_1_0_wmux[1]:D,
Quad_1/QuadXface_1/QuadDataOut_1_1_0_wmux[1]:FCO,
